Otus beccarii,
Otus balli,
Otus collari,
Otus socotranus,
Otus alfredi,
Otus sagittatus,
Otus silvicola,
Otus thilohoffmanni,
Otus mantananensis,
Otus manadensis,
Otus icterorhynchus,
Otus brookii,
Otus angelinae,
Otus enganensis,
Otus umbra,
Otus nigrorum,
Otus everetti,
Otus alius,
Otus mentawi,
Otus magicus,
Otus fuliginosus,
Otus jolandae,
Otus sulaensis,
Otus siaoensis,
Aegolius ridgwayi,
Aegolius gradyi,
Glaucidium albertinum,
Glaucidium sjostedti,
Glaucidium palmarum,
Glaucidium costaricanum,
Glaucidium mooreorum,
Glaucidium parkeri,
Glaucidium siju,
Glaucidium nubicola,
Glaucidium sanchezi,
Glaucidium castanotum,
Glaucidium castanopterum,
Ninox variegata,
Ninox punctulata,
Ninox burhani,
Ninox odiosa,
Ninox affinis,
Ninox ochracea,
Ninox hypogramma,
Ninox meeki,
Ninox sumbaensis,
Ninox randi,
Ninox ios,
Ninox obscura,
Ninox theomacha,
Ninox forbesi,
Ninox mindorensis,
Ninox spilocephala,
Ninox leventisi,
Ninox reyi,
Ninox rumseyi,
Ninox spilonotus,
Ninox plesseni,
Ninox hantu,
Otus murivorus,
Otus sauzieri,
Otus grucheti,
Athene blewitti,
Tyto prigoginei,
Phodilus assimilis,
Tyto deroepstorffi,
Rhinopomastus castaneiceps,
Phoeniculus somaliensis,
Phoeniculus bollei,
Rhinopomastus aterrimus,
Rhinopomastus minor,
Upupa antaios,
Upupa marginata,
Chrysocolaptes stricklandi,
Chrysocolaptes festivus,
Dryobates maculifrons,
Chloropicus xantholophus,
Yungipicus ramsayi,
Melanerpes pulcher,
Piculus simplex,
Colaptes oceanicus,
Dinopium everetti,
Dinopium psarodes,
Picumnus granadensis,
Picumnus cinnamomeus,
Picumnus limae,
Picumnus fuscus,
Indicator meliphilus,
Indicator archipelagicus,
Indicator pumilio,
Melichneutes robustus,
Melignomon eisentrauti,
Melignomon zenkeri,
Prodotiscus regulus,
Prodotiscus zambesiae,
Pogonornis minor,
Lybius rubrifacies,
Lybius chaplini,
Pogonornis rolleti,
Lybius guifsobalito,
Lybius undatus,
Lybius leucocephalus,
Tricholaema melanocephala,
Tricholaema frontata,
Pogoniulus subsulphureus,
Pogoniulus simplex,
Pogoniulus leucomystax,
Gymnobucco sladeni,
Gymnobucco bonapartei,
Gymnobucco peli,
Stactolaema anchietae,
Trachyphonus margaritatus,
Trachyphonus vaillantii,
Psilopogon auricularis,
Notharchus tectus,
Notharchus pectoralis,
Notharchus hyperrhynchus,
Notharchus swainsoni,
Notharchus ordii,
Nonnula amaurocephala,
Nonnula frontalis,
Nonnula brunnea,
Nonnula sclateri,
Nystalus chacuru,
Nystalus striolatus,
Nystalus radiatus,
Nystalus obamai,
Bucco tamatia,
Bucco noanamae,
Malacoptila mystacalis,
Monasa morphoeus,
Monasa nigrifrons,
Monasa atra,
Monasa flavirostris,
Hypnelus ruficollis,
Hypnelus bicinctus,
Hapaloptila castanea,
Micromonacha lanceolata,
Jacamerops aureus,
Galbula galbula,
Galbula tombacea,
Galbula cyanicollis,
Brachygalba lugubris,
Brachygalba salmoni,
Brachygalba goeringi,
Jacamaralcyon tridactyla,
Galbalcyrhynchus leucotis,
Galbalcyrhynchus purusianus,
Merops americanus,
Trogon mesurus,
Trogon caligatus,
Trogon ramonianus,
Trogon tenellus,
Apalharpactes reinwardtii,
Colius castanotus,
Prosobonia ellisi,
Prosobonia cancellata,
Coenocorypha barrierensis,
Coenocorypha iredalei,
Gallinago jamesoni,
Gallinago nobilis,
Gallinago andina,
Gallinago nemoricola,
Gallinago stricklandii,
Scolopax celebensis,
Scolopax rosenbergii,
Scolopax bukidnonensis,
Scolopax rochussenii,
Scolopax saturata,
Sternula balaenarum,
Sternula lorata,
Sterna aurantia,
Sterna virgata,
Sterna acuticauda,
Sterna repressa,
Rynchops albicollis,
Larus vegae,
Larus mongolicus,
Rhinoptilus bitorquatus,
Cursorius somalensis,
Turnix olivii,
Turnix melanogaster,
Turnix nigricollis,
Turnix nanus,
Turnix everetti,
Turnix castanotus,
Turnix worcesteri,
Turnix maculosus,
Ortyxelos meiffrenii,
Vanellus melanocephalus,
Vanellus superciliosus,
Anarhynchus dealbatus,
Haematopus meadewaldoi,
Esacus recurvirostris,
Burhinus indicus,
Fulica newtonii,
Gallinula pacifica,
Gallinula silvestris,
Gymnocrex plumbeiventris,
Gymnocrex talaudensis,
Amaurornis magnirostris,
Amaurornis isabellina,
Aphanocrex podarces,
Mundia elpenor,
Laterallus notatus,
Rufirallus xenopterus,
Laterallus spilonota,
Laterallus levraudi,
Porphyrio kukwiedei,
Porphyrio caerulescens,
Porphyrio paepae,
Dryolimnas augusti,
Gallirallus pacificus,
Tribonyx hodgenorum,
Rallus aequatorialis,
Rallus wetmorei,
Rallus madagascariensis,
Rallus semiplumbeus,
Rallus antarcticus,
Rallus tenuirostris,
Rallus obsoletus,
Aramides calopterus,
Aramides wolfi,
Aramides albiventris,
Mustelirallus colombianus,
Zapornia sandwichensis,
Zapornia nigra,
Zapornia astrictocarpus,
Sarothrura affinis,
Sarothrura pulchra,
Sarothrura lugens,
Sarothrura boehmi,
Sarothrura ayresi,
Sarothrura watersi,
Chrysuronia lilliae,
Saucerottia hoffmanni,
Saucerottia cyanifrons,
Amazilia luciae,
Chrysuronia boucardi,
Anthocephala berlepschi,
Stephanoxis loddigesii,
Campylopterus phainopeplus,
