Zosterops ponapensis,
Zosterops stuhlmanni,
Zosterops flavissimus,
Zosterops tetiparius,
Zosterops melanurus,
Zosterops anderssoni,
Zosterops anjuanensis,
Zosterops auriventer,
Vini diadema,
Loriculus camiguinensis,
Loriculus flosculus,
Cyanoramphus zealandicus,
Cyanoramphus ulietanus,
Tanygnathus gramineus,
Eclectus infectus,
Psittacara labati,
Psittacara maugei,
Ara tricolor,
Amazona martinicana,
Amazona violacea,
Poicephalus robustus,
Poicephalus crassus,
Nestor productus,
Lophopsittacus bensoni,
Lophopsittacus mauritianus,
Falco duboisi,
Caracara lutosa,
Buteo socotraensis,
Buteo bannermani,
Accipiter erythrauchen,
Accipiter henicogrammus,
Accipiter rhodogaster,
Accipiter brachyurus,
Accipiter princeps,
Accipiter luteoschistaceus,
Accipiter butleri,
Accipiter trinotatus,
Accipiter griseiceps,
Accipiter albogularis,
Accipiter nanus,
Circaetus beaudouini,
Spilornis kinabaluensis,
Spilornis klossi,
Leptodon forbesi,
Aviceda jerdoni,
Aviceda madagascariensis,
Polyboroides radiatus,
Strix mauritanica,
Ciccaba huhula,
Ciccaba albitarsis,
Strix fulvescens,
Strix seloputo,
Strix ocellata,
Strix hylophila,
Strix chacoensis,
Strix nivicolum,
Strix hadorami,
Megascops centralis,
Megascops seductus,
Megascops gilesi,
Scotopelia ussheri,
Scotopelia bouvieri,
Asio stygius,
Asio madagascariensis,
Asio abyssinicus,
Otus scops,
Ketupa blakistoni,
Bubo sumatranus,
Bubo philippensis,
Bubo coromandus,
Bubo leucostictus,
Bubo vosseleri,
Bubo shelleyi,
Bubo poensis,
Otus beccarii,
Otus madagascariensis,
Otus balli,
Otus collari,
Otus socotranus,
Otus alfredi,
Otus sagittatus,
Otus silvicola,
Otus thilohoffmanni,
Otus mantananensis,
Otus manadensis,
Otus icterorhynchus,
Otus brookii,
Otus angelinae,
Otus enganensis,
Otus umbra,
Otus nigrorum,
Otus everetti,
Otus alius,
Otus mentawi,
Otus magicus,
Otus fuliginosus,
Otus jolandae,
Otus sulaensis,
Otus siaoensis,
Aegolius ridgwayi,
Aegolius gradyi,
Glaucidium albertinum,
Glaucidium sjostedti,
Glaucidium palmarum,
Glaucidium costaricanum,
Glaucidium mooreorum,
Glaucidium parkeri,
Glaucidium siju,
Glaucidium nubicola,
Glaucidium sanchezi,
Glaucidium castanotum,
Glaucidium castanopterum,
Ninox boobook,
Ninox variegata,
Ninox punctulata,
Ninox burhani,
Ninox odiosa,
Ninox affinis,
Ninox ochracea,
Ninox hypogramma,
Ninox meeki,
Ninox sumbaensis,
Ninox randi,
Ninox ios,
Ninox obscura,
Ninox theomacha,
Ninox forbesi,
Ninox mindorensis,
Ninox spilocephala,
Ninox leventisi,
Ninox reyi,
Ninox rumseyi,
Ninox spilonotus,
Ninox plesseni,
Ninox hantu,
Otus murivorus,
Otus sauzieri,
Otus grucheti,
Athene blewitti,
Phodilus prigoginei,
Phodilus assimilis,
Tyto deroepstorffi,
Phoeniculus castaneiceps,
Phoeniculus somaliensis,
Phoeniculus bollei,
Rhinopomastus aterrimus,
Rhinopomastus minor,
Upupa antaios,
Upupa marginata,
Chrysocolaptes stricklandi,
Chrysocolaptes festivus,
Dryobates maculifrons,
Chloropicus xantholophus,
Yungipicus ramsayi,
Melanerpes pulcher,
Piculus simplex,
Colaptes oceanicus,
Dinopium everetti,
Dinopium psarodes,
Picumnus granadensis,
Picumnus cinnamomeus,
Picumnus limae,
Picumnus fuscus,
Indicator meliphilus,
Indicator archipelagicus,
Indicator conirostris,
Indicator pumilio,
Melichneutes robustus,
Melignomon eisentrauti,
Melignomon zenkeri,
Prodotiscus regulus,
Prodotiscus zambesiae,
Lybius minor,
Lybius rubrifacies,
Lybius chaplini,
Lybius rolleti,
Lybius guifsobalito,
Lybius undatus,
Lybius leucocephalus,
Tricholaema melanocephala,
Tricholaema frontata,
Pogoniulus subsulphureus,
Pogoniulus simplex,
Pogoniulus leucomystax,
Gymnobucco sladeni,
Gymnobucco bonapartei,
Gymnobucco peli,
Stactolaema anchietae,
Trachyphonus margaritatus,
Trachyphonus vaillantii,
Psilopogon auricularis,
Notharchus tectus,
Notharchus pectoralis,
Notharchus hyperrhynchus,
Notharchus swainsoni,
Notharchus ordii,
Nonnula amaurocephala,
Nonnula frontalis,
Nonnula brunnea,
Nonnula sclateri,
Nystalus chacuru,
Nystalus striolatus,
Nystalus radiatus,
Nystalus obamai,
Bucco tamatia,
Bucco noanamae,
Malacoptila mystacalis,
Monasa morphoeus,
Monasa nigrifrons,
Monasa atra,
Monasa flavirostris,
Hypnelus ruficollis,
Hapaloptila castanea,
Micromonacha lanceolata,
Jacamerops aureus,
Galbula galbula,
Galbula tombacea,
Galbula cyanicollis,
Brachygalba lugubris,
Brachygalba salmoni,
Brachygalba goeringi,
Jacamaralcyon tridactyla,
Galbalcyrhynchus leucotis,
Galbalcyrhynchus purusianus,
Merops americanus,
Trogon mesurus,
Trogon caligatus,
Trogon ramonianus,
Harpactes reinwardtii,
Colius castanotus,
Prosobonia ellisi,
Prosobonia cancellata,
Coenocorypha barrierensis,
Coenocorypha iredalei,
Gallinago jamesoni,
Gallinago nobilis,
Gallinago andina,
Gallinago nemoricola,
Gallinago stricklandii,
Scolopax celebensis,
Scolopax rosenbergii,
Scolopax bukidnonensis,
Scolopax rochussenii,
Scolopax saturata,
Sternula balaenarum,
Sternula lorata,
Sterna aurantia,
Sterna virgata,
Sterna acuticauda,
Sterna repressa,
Rynchops albicollis,
Rhinoptilus bitorquatus,
Cursorius somalensis,
Turnix olivii,
Turnix melanogaster,
Turnix nigricollis,
Turnix nanus,
Turnix everetti,
Turnix castanotus,
Turnix worcesteri,
Turnix maculosus,
Ortyxelos meiffrenii,
Vanellus melanocephalus,
Vanellus superciliosus,
Charadrius dealbatus,
Haematopus meadewaldoi,
Esacus recurvirostris,
Burhinus indicus,
Fulica newtonii,
Gallinula pacifica,
Gallinula silvestris,
Gymnocrex plumbeiventris,
Gymnocrex talaudensis,
Amaurornis magnirostris,
Amaurornis isabellina,
Atlantisia podarces,
Mundia elpenor,
Coturnicops notatus,
Laterallus xenopterus,
Laterallus spilonota,
Laterallus levraudi,
Porphyrio kukwiedei,
Porphyrio caerulescens,
Porphyrio paepae,
Dryolimnas augusti,
Gallirallus pacificus,
Tribonyx hodgenorum,
Rallus wetmorei,
Rallus madagascariensis,
Rallus semiplumbeus,
Rallus antarcticus,
Rallus tenuirostris,
Rallus obsoletus,
Aramides calopterus,
Aramides wolfi,
Aramides albiventris,
Mustelirallus colombianus,
Zapornia sandwichensis,
Zapornia nigra,
Zapornia astrictocarpus,
Sarothrura affinis,
Sarothrura pulchra,
Sarothrura lugens,
Sarothrura boehmi,
Sarothrura ayresi,
Sarothrura watersi,
Chrysuronia lilliae,
Saucerottia hoffmanni,
Saucerottia cyanifrons,
Amazilia luciae,
Amazilia boucardi,
Anthocephala berlepschi,
Stephanoxis loddigesii,
Campylopterus phainopeplus,
Chrysuronia humboldtii,
Chlorostilbon russatus,
Chlorostilbon olivaresi,
Chlorostilbon gibsoni,
Cynanthus auriceps,
Chlorostilbon alice,
Cynanthus forficatus,
Riccordia bracei,
Chlorostilbon stenurus,
